,Air.Rate.1,Air.Rate.2,Air.Rate.3,Air.Rate.4,Air.Rate.5,Air.Rate.6,Air.Rate.7,Air.Rate.8,Air.Rate.9,Air.Rate.10,Air.Rate.11,Air.Rate.12
1,2.187213239,2.030983722,2.070041101,9.686230057,11.1118244,12.57647612,12.18590233,11.46334081,13.76772619,9.959631712,12.6155335,9.803402195
2,1.03502055,0.761618896,0.683504137,2.226270618,7.459959439,7.030328267,6.34682413,6.385881509,7.889590611,7.186557784,8.534037369,7.108443026
3,59.55860929,58.40686955,59.94902954,56.86470956,56.02530602,60.33944979,59.55860929,59.94902954,61.10076928,55.73249083,58.0164493,59.55860929
4,66.48856874,70.3146872,66.48856874,70.70510745,62.25250902,62.64292927,66.09814849,71.0955277,65.70772824,64.16556825,61.86208877,66.48856874
5,102.0447,111.04,95.54888,103.7369,108.2456,118.8768,103.1428,111.0326,109.8113,116.1441,99.93795,104.527
